;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/04/2023 2:29:02 pm
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x1C51940C  	JMP        _main
0x0004	0x1A0D940C  	JMP        _Interrupt_INT0_GridOFF
0x0008	0x19B8940C  	JMP        _Interrupt_INT1
0x000C	0x0000940C  	JMP        0
0x0010	0x1AA0940C  	JMP        _Timer_Interrupt_UpdateScreen
0x0014	0x0000940C  	JMP        0
0x0018	0x0000940C  	JMP        0
0x001C	0x1B88940C  	JMP        _Timer_Interrupt_ReadBattery
0x0020	0x0000940C  	JMP        0
0x0024	0x0000940C  	JMP        0
0x0028	0x1AFF940C  	JMP        _Interupt_Timer_0_OFFTime
0x002C	0x0000940C  	JMP        0
0x0030	0x0000940C  	JMP        0
0x0034	0x0000940C  	JMP        0
0x0038	0x0000940C  	JMP        0
0x003C	0x0000940C  	JMP        0
0x0040	0x0000940C  	JMP        0
0x0044	0x0000940C  	JMP        0
0x0048	0x0000940C  	JMP        0
0x004C	0x0000940C  	JMP        0
0x0050	0x0000940C  	JMP        0
_main:
0x38A2	0xE5BF    	LDI        R27, 95
0x38A4	0xBFBD    	OUT        SPL+0, R27
0x38A6	0xE0B8    	LDI        R27, 8
0x38A8	0xBFBE    	OUT        SPL+1, R27
0x38AA	0x1CEF940E  	CALL       7407
;Solar_Loads_Controller_SLCM_V1.c,1592 :: 		void main() {
;Solar_Loads_Controller_SLCM_V1.c,1593 :: 		Config();
0x38AE	0x922F    	PUSH       R2
0x38B0	0x923F    	PUSH       R3
0x38B2	0x924F    	PUSH       R4
0x38B4	0x925F    	PUSH       R5
0x38B6	0x926F    	PUSH       R6
0x38B8	0x927F    	PUSH       R7
0x38BA	0x12E0940E  	CALL       _Config+0
;Solar_Loads_Controller_SLCM_V1.c,1594 :: 		EEPROM_Load(); // load params programs
0x38BE	0x129F940E  	CALL       _EEPROM_Load+0
;Solar_Loads_Controller_SLCM_V1.c,1595 :: 		ADCBattery(); // adc configuartion for adc
0x38C2	0x1387940E  	CALL       _ADCBattery+0
;Solar_Loads_Controller_SLCM_V1.c,1596 :: 		TWI_Config();
